1/23	01	33516
1/23	06	26179
1/23	10	22992
1/23	15	36915
1/24	00	34938
1/24	05	26673
1/24	14	40592
1/24	19	31849
1/24	23	37044
1/25	04	31166
1/25	09	22277
1/25	13	42180
1/25	18	33518
1/25	22	35931
1/26	03	41405
1/26	08	21258
1/26	12	33172
1/26	17	36455
1/26	21	35376
1/27	02	32745
1/27	07	24131
1/27	11	29093
1/27	16	40420
1/27	20	33255
1/28	01	38914
1/28	06	25145
1/28	10	25253
1/28	15	43698
1/29	00	34845
1/29	05	28772
1/29	14	39055
1/29	19	30162
1/29	23	32462
1/30	03	34954
1/30	08	23243
1/30	12	29942
1/30	17	33279
1/30	21	32744
1/31	02	38587
1/31	07	21486
1/31	11	28727
1/31	16	37700
1/31	20	33601
2/1	01	37842
2/1	06	23869
2/1	10	24690
2/1	15	41437
2/2	00	39394
2/2	05	28237
2/2	14	40482
2/2	19	35532
2/2	23	40281
2/3	04	35309
2/3	09	23554
2/3	13	39556
2/3	18	35220
2/3	22	38054
2/4	03	37779
2/4	08	22790
2/4	12	34708
2/4	17	40052
2/4	21	34681
2/5	02	38121
2/5	07	22736
2/5	11	25992
2/5	16	41374
2/5	20	30268
2/6	01	35818
2/6	06	27791
2/6	10	24502
2/6	15	42278
2/7	00	48900
2/7	05	26257
2/7	14	41769
2/7	19	33007
2/7	23	39238
2/8	04	31323
2/8	09	23639
2/8	13	39246
2/8	18	34671
2/8	22	37530
1/23	02	34909
1/23	07	23402
1/23	11	25589
1/23	16	34103
1/23	20	32049
1/24	01	36831
1/24	06	23357
1/24	10	23899
1/24	15	40590
1/25	00	36749
1/25	05	27003
1/25	14	45088
1/25	19	33126
1/25	23	36693
1/26	04	32562
1/26	09	22196
1/26	13	38887
1/26	18	34503
1/26	22	37478
1/27	03	36254
1/27	08	22306
1/27	12	34371
1/27	17	36799
1/27	21	34798
1/28	02	38804
1/28	07	22822
1/28	11	29759
1/28	16	41800
1/28	20	31953
1/29	01	35917
1/29	06	25118
1/29	10	23022
1/29	15	42686
1/30	04	33652
1/30	09	22974
1/30	13	34065
1/30	18	32275
1/30	22	35077
1/31	03	37065
1/31	08	21867
1/31	12	34040
1/31	17	36071
1/31	21	35350
2/1	02	37808
2/1	07	21869
2/1	11	28646
2/1	16	40053
2/1	20	34184
2/2	01	39081
2/2	06	24254
2/2	10	25160
2/2	15	39840
2/3	00	40392
2/3	05	30608
2/3	14	43298
2/3	19	33685
2/3	23	39352
2/4	04	32312
2/4	09	23777
2/4	13	40057
2/4	18	36271
2/4	22	35136
2/5	03	36343
2/5	08	22596
2/5	12	30508
2/5	17	37807
2/5	21	30544
2/6	02	36588
2/6	07	24429
2/6	11	28261
2/6	16	38800
2/6	20	34490
2/7	01	52000
2/7	06	23540
2/7	10	24989
2/7	15	43619
2/8	00	38371
2/8	05	27001
2/8	14	43622
2/8	19	33434
2/8	23	38265
1/23	03	34371
1/23	08	22801
1/23	12	29042
1/23	17	32222
1/23	21	32464
1/24	02	38219
1/24	07	21174
1/24	11	27479
1/24	16	38545
1/24	20	32167
1/25	01	36894
1/25	06	23077
1/25	10	23821
1/25	15	48841
1/26	00	36829
1/26	05	26829
1/26	14	42340
1/26	19	32946
1/26	23	38600
1/27	04	32306
1/27	09	22872
1/27	13	39890
1/27	18	34647
1/27	22	37323
1/28	03	39354
1/28	08	22536
1/28	12	34616
1/28	17	39143
1/28	21	32802
1/29	02	36412
1/29	07	22647
1/29	11	26143
1/29	16	42829
1/29	20	28924
1/30	00	32735
1/30	05	30337
1/30	14	37832
1/30	19	32380
1/30	23	35837
1/31	04	32264
1/31	09	22659
1/31	13	39029
1/31	18	34013
1/31	22	36718
2/1	03	37142
2/1	08	22086
2/1	12	34494
2/1	17	36804
2/1	21	36385
2/2	02	38297
2/2	07	22529
2/2	11	29029
2/2	16	39167
2/2	20	34910
2/3	01	44997
2/3	06	25332
2/3	10	26004
2/3	15	43718
2/4	00	38153
2/4	05	27998
2/4	14	43712
2/4	19	34065
2/4	23	38095
2/5	04	32801
2/5	09	22440
2/5	13	35622
2/5	18	34259
2/5	22	31831
2/6	03	37434
2/6	08	23970
2/6	12	32316
2/6	17	37171
2/6	21	35251
2/7	02	45812
2/7	07	21873
2/7	11	29295
2/7	16	39691
2/7	20	33839
2/8	01	37167
2/8	06	23773
2/8	10	25483
2/8	15	44693
1/23	04	32769
1/23	09	22395
1/23	13	33299
1/23	18	30632
1/23	22	35613
1/24	03	36184
1/24	08	20985
1/24	12	32458
1/24	17	34727
1/24	21	34294
1/25	02	37530
1/25	07	21428
1/25	11	28079
1/25	16	45092
1/25	20	32195
1/26	01	38498
1/26	06	23058
1/26	10	24406
1/26	15	42390
1/27	00	38527
